doc_id,discipline,text
19,computer science,"According to the different levels of network knowledge requirements of various majors, the final assessment will be arranged for the examination class and the inspection class according to the actual situation, focusing on the assessment of the usual learning process and training.
In the examination class, the focus is on the performance of usual practical training, accounting for 60% of the total score; the final theory test, accounting for 30% of the total score; the usual scores including classroom attendance, learning attitude, homework, classroom interaction, discussion, etc., accounting for 10% of the total score.
Suggestion: At the end of the training, no matter whether it is successful or not, an experimental report must be handed in as the basis for the assessment of practical training."
20,computer science,"The process assessment consists of attendance and process performance, accounting for 80% of the total score. The summative assessment consists of social practice report and instructor assessment, accounting for 20% of the total score."
21,computer science,"Diversified assessment content and assessment methods
In the assessment system, the content of course teaching assessment includes answering questions, organizing training equipment, group collaboration, equipment maintenance, network communication, and professional quality. The assessment methods are embodied in various forms such as group discussions, units, stages, and final exams, so as to comprehensively promote the efficiency and quality of professional teaching, and improve students' skills, professional ability and professional quality.
Process assessment
The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades. The assessment process focuses on the assessment of students' ability to analyze and solve problems in the learning process. Students who are innovative in learning and application should be particularly encouraged, and students' abilities should be comprehensively evaluated. At different time periods, the students will be evaluated in the process of preparation, formation, diagnosis, and summary of process assessment, so that the students can discover their own problems and deficiencies in time, find out the gaps, and carry out learning and training in a targeted manner. Teachers carefully record the above grades and record the grades during the semester, which overcomes the drawback of determining the results by one test paper in a semester.
"
22,computer science,"This course is an inspectionn course, and the course assessment is a combination of online and offline methods, and students' performance is comprehensively assessed through procedural examinations and summative examinations. Overall assessment (100%) = process assessment (70%) + summative assessment (30%), in which the process assessment includes attendance, learning attitude, individual assignments, group assignments, classroom interaction, etc. The final assessment is based on a report (thesis), large-scale work, project design, etc.
"
23,computer science,"The combination of process assessment and summative assessment, and quantitative and qualitative assessment are used to evaluate students' understanding and mastery of knowledge and their actual mental healthcare ability.
(1) Process examinations account for 70%, including grades such as attendance, learning attitude, individual assignments, teamwork, and classroom interaction.
(2) Summative examination accounts for 30%, which is carried out in the form of reports (thesis), project design, etc.
(3) If the number of absenteeism exceeds one-third of the total class hours, the final grade will be regarded as a failure.
(4) If more than one third of the homework is missed, the final grade will be considered as a failure.
"
24,food science,"(5) Assessment method:
Written test is combined with practice, focusing on ability test.
(6) Recording method of results:
The total score is 100 points, of which: daily performance and homework account for 10%; practice accounts for 20%, and test scores account for 70%.
"
25,engineering,"The assessment of this course adopts the form of combining formative assessment and summative assessment, and formative assessment accounts for 60%, mainly including online attendance, discussion interaction and related tests, and offline projects; final assessment accounts for 40%, and the final offline test is conducted in the computer room. "
26,food science,"Theoretical part: 70% of the total score. Establish a test question bank, randomly select questions from the question bank to compose a closed-book test;
Practical part: 20% of the total grade, including experimental report, operation situation; 
Usual grades: 10% of the total grade, including attendance, answering questions, homework completion, etc."
27,computer science,Process Assessment 60% + Summative Assessment 40%.
28,computer science,"Establish an assessment system based on professional technical standards and professional quality. This course adopts an result-oriented open skill assessment method. The main form is as follows: the teacher publishes the skill assessment plan according to the course content, the students complete the teacher-designated projects according to the task book in the plan, and the teacher scores according to the works submitted by the students. The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades.
This course recommends to participate in the Linux system administrator certification, that is, Red Hat's RHCSA. For students who have obtained the certificate, 20 points will be added to the certification score (converted into a 100-piont system) as the final score of this course (up to 100 points). Then can be exempt from the course completion examination organized by the professional organization.
"
29,computer science,"Adopt multiple assessment methods, combining process assessment and target assessment. The final grade assessment of the course = teaching process assessment (40%) + final theoretical examination (50%) + practical assessment (10%); the teaching process assessment adopts a combination of online and offline methods."
30,computer science,"Pay attention to process assessment and system assessment, and implement a percentage assessment system. The specific measures are: the assessment content is divided into two parts: classroom teaching and practical teaching. Among them, the content of the classroom assessment is divided into two parts: usual and final. The usual assessment include daily learning activities such as attendance, staying attentive in class, discipline, speaking up, homework, and answer questions, accounting for 40%, final exams (proposition-based exams, writing research papers) accounting for 50%, and practical teaching scores accounting for 10%."
31,computer science,"The assessment of this course consists of process assessment and summative assessment.
1. Process assessment (30%)
The process assessment mainly assesses four aspects: pre-class preparation, students' attendance, class performance, and quizzes and homework.
Process assessment = pre-class preparation * 20% + attendance * 20% + class performance * 30% + quiz and homework * 30%.
2. Summative assessment (70%)
The summative assessment mainly assesses students' mathematical knowledge base, mathematical application ability, mathematical practice ability and mathematical innovation ability, etc., and adopts the method of closed-book examination."
32,computer science,"The assessment method combining process assessment and summative assessment is implemented, and the process assessment results account for 30%, and the summative assessment results account for 70%."
33,computer science,"The assessment method combining process assessment and summative assessment is implemented, and the process assessment results account for 30%, and the summative assessment results account for 70%."
34,computer science,"The assessment method combining process assessment and summative assessment is implemented, and the process assessment results account for 30%, and the summative assessment results account for 70%."
35,computer science,"This course combines process assessment and summative assessment, and theory and practice; the process assessment score accounts for 30%, and the summative assessment score accounts for 70%; the summative assessment is divided into theoretical assessment (30%) and practical assessment (40%)."
36,computer science,"Establish an assessment system based on professional technical standards and professional quality. This course adopts an result-oriented open skill assessment method. The main form is as follows: the teacher publishes the skill assessment plan according to the course content, the students complete the teacher-designated projects according to the task book in the plan, and the teacher scores according to the works submitted by the students. The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades.
This course recommends students to take the operation and maintenance and development of cloud computing platform professional skill level certificate exam (primary). Students who have obtained the certificate will gain 20 points on the basis of the certification score (converted into a percentage system) as the final score of this course (maximum 100 points), can be exempt from taking the course completion examination organized by the professional organization."
37,computer science,"Diversified assessment content and assessment methods
In the assessment system, the content of course assessment includes answering questions, organizing training equipment, group collaboration, equipment maintenance, network communication, and professional quality. The assessment methods are embodied in various forms such as group discussions, unit tests, staged tests, and final exams, so as to comprehensively promote the efficiency and quality of professional teaching, and improve students' skills, professional ability and professional quality.
Process assessment
The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades. The assessment process focuses on the assessment of students' ability to analyze and solve problems in the learning process. Students who are innovative in learning and application should be particularly encouraged, and students' abilities should be comprehensively evaluated. At different time periods, the students will be evaluated in the process of preparation, formation, diagnosis, and summary for process assessment, so that the students can discover their own problems and deficiencies in time, find out the gaps, and carry out learning and training in a targeted manner. Teachers carefully record the above grades and record the grades during the semester, which overcomes the drawback of determining the results by one test paper in a semester.
"
38,computer science,"Diversified assessment content and assessment methods
In the assessment system, the content of course teaching assessment includes answering questions, organizing training equipment, group collaboration, equipment maintenance, network communication, and professional quality. The assessment methods are embodied in various forms such as group discussions, units, stages, and final exams, so as to comprehensively promote the efficiency and quality of professional teaching, and improve students' skills, professional ability and professional quality.
Process assessment
The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades. The assessment process focuses on the assessment of students' ability to analyze and solve problems in the learning process. Students who are innovative in learning and application should be particularly encouraged, and students' abilities should be comprehensively evaluated. At different time periods, the students will be evaluated in the process of preparation, formation, diagnosis, and summary of process assessment, so that the students can discover their own problems and deficiencies in time, find out the gaps, and carry out learning and training in a targeted manner. Teachers carefully record the above grades and record the grades in the semester, which overcomes the drawback of determining the results by one test paper in a semester."
39,computer science,"Diversified assessment content and assessment methods
In the assessment system, the content of course assessment includes answering questions, organizing training equipment, group collaboration, equipment maintenance, network communication, and professional quality. The assessment methods are embodied in various forms such as group discussions, units, stages, and final exams, so as to comprehensively promote the efficiency and quality of professional teaching, and improve students' skills, professional ability and professional quality.
Process assessment
The open skill assessment projects account for 60% of the students' total grades; daily performances account for 10%; final theory exams account for 30% of the total grades. The assessment process focuses on the assessment of students' ability to analyze and solve problems in the learning process. Students who are innovative in learning and application should be particularly encouraged, and students' abilities should be comprehensively evaluated. At different time periods, the students will be evaluated in the process of preparation, formation, diagnosis, and summary of process assessment, so that the students can discover their own problems and deficiencies in time, find out the gaps, and carry out learning and training in a targeted manner. Teachers carefully record the above grades and record the grades during the semester, which overcomes the drawback of determining the results by one examination paper in a semester."
40,computer science,"Score composition and ratio:
Subject overall assessment = process assessment + practical activity assessment + final exam + bonus points - disciplinary deduction
The process assessment consists of learning attitude, practice assignments, survey reports and other results;
Practical activities, at the beginning of each activity, take the group as a unit to receive work tasks. The group leader organizes the group members to divide the work and cooperate to complete the work together. After the group activity is over, the assessment within the group is carried out first, and each person gets a basic score, and then the judges and teachers give the score, and average it to each group member to get the total score;
Bonus points: those who are excellent in practical activities;
Demerit points: frequent latecomers, obstructing teaching or event organizers.
Assessment subject: classroom teachers, practical activity organizers, counselors;
Assessment location: classroom, integrated wiring laboratory;
Assessment requirements: According to the teaching requirements of each chapter, highlight the key points and strengthen the assessment of students' comprehensive practical ability, especially the assessment of thinking, analyzing and problem-solving abilities.

Process assessment (40 points):
Learning attitude (20 points): Correct attitude, unity and cooperation, active speaking-up in class, active hands-on operation, serious thinking.
Homework exercise  (10 points): The content is standardized, the thinking is clear, the writing is serious, and the submission is timely.
Survery (10 points): In-depth investigation, reasonable and appropriate analysis, targeted, typical, and standardized writing.

Practical assessment (30 points): Actively participate in activities, have a sense of teamwork, strong communication, and assist in completing various practical activities.

Final exam  (30 points): The examination is organized in a unified way, and the examination form is generally a practical operation examination.

Bonus points: Excellent practical activity

Demerit points: Frequent lateness, interfering with teaching or organization of activities"
41,computer science,"1. Adopt the assessment method combining process assessment, staged assessment and comprehensive assessment.
2. Combined with classroom questions, usual tests, experimental training, skills and other aspects, comprehensively evaluate students' academic performance.
3. Pay attention to students' practical ability, analyze and solve problems, give full play to students' initiative and enthusiasm, and pay attention to students' professional quality and professional ability.

[Usual performance]
Class attendance (10%): Arrive in class on time, leave class on time without disturbing others.	
Usual homework (20%): Include classwork and homework.		
Class performance (10%): Learning attitude in the classroom, answers to questions.
Experiment and training (20%): Laboratory performance and compliance with operating procedures and laboratory codes. 
[Final exam] (30%): Computer-based test to test students' mastery of knowledge points of web design, as well as their ability to do it by themselves and think independently.
[Additional points] (10%): Self-created works completed by students through what they have learned."
42,computer science,"The final grade of this course consists of three parts: the experimental part, the case part and the final exam. Among them, the results of the experimental teaching and the case teaching account for 70% of the final grade, and the final exam accounts for 30%."
43,computer science,"An assessment is completed after the teaching of each project module, a total of 14 project module assessment; the final comprehensive online exam; the quality of teamwork programming assignments; combined with the use of ""Learning Pass"", plus the usual attendance to form ""Android Advanced Development"" ""exam results, details as follows:
Score ratio: Each project module is worth 5 points, 14 project modules have a total score of 70 points, and the final comprehensive online exam is 30 points, totaling 100 points.
1) Assessment standard:
Excellent (80-100 points) Solid basic knowledge of Android programming, familiar with the use of various Android modules, proficient in operation, and clear programming ideas, good online test scores, excellent computer programming assignments, according to the scoring standard, the score is above 80, grade A, etc.
Passing (60-79) Familiar with most of the Android modules, relatively proficient in completing the operation; passing the online test, and passing the computer programming assignment, according to the scoring standard, the score is above 60, and the score is rated B and so on.
"
44,computer science,"1. This course is mainly evaluated by process assessment combined with final computer-based examination.
2. Practical assessment method to assess students' ability of cloud platform planning and integrated implementation through computer operation.
3. The computer-based assessment accounts for 40%, and the usual attendance, classroom performance and practical activity performance account for 60%."
45,computer science,"The process assessment accounts for 60% of the total assessment results, and the summative assessment results account for 40% (practical assessment)."
46,health science,"Usual grade 30%, final operation 30%, final written exam 40%"
47,health science,"1. Course assessment: The teaching assessment of this course is a combination of process assessment and final assessment. Among them, the process assessment accounts for 30% of the total score, and the final assessment accounts for 70% of the total score.
(1) Process assessment: offline assessment includes learning discipline, learning attitude, classroom performance, etc.; online assessment includes learning time, questioning, submitting assignments, unit testing, etc.
(2) Final assessment: through the final closed-book exam.
"
48,health science,"The assessment of this course adopts the form of formative assessment and summative assessment.
Formative assessment accounts for 30%, mainly including attendance, chapter tests, offline activities, staged operation assessment, etc.; summative assessment accounts for 70%, using a combination of final theoretical examination and practical skills assessment."
49,health science,"The assessment of this course adopts a combination of process assessment and summative assessment.
The method of multi-subject assessment of off-campus teachers and students. Process assessment accounts for 30%, mainly online attendance, work display, mid-term test, offline classroom performance, etc., which are jointly evaluated by teachers and students; summative assessment accounts for 70%, of which final theoretical test accounts for 55%, and practical operation results account for 45%, the practice assessment is jointly evaluated by teachers from hospitals and enterprises."
50,computer science,Process Assessment 60% + Summative Assessment 40%.
51,computer science,Process Assessment 60% + Summative Assessment 40%.
52,computer science,Process Assessment 60% + Final Assessment 40%
53,food science,"4. Assessment method: This course is an inspection course, and the principle of comprehensive performance assessment of the course is: 60% of the process assessment and 40% of the final assessment."
54,health science,"The learning assessment highlights the process assessment based on class attendance, classroom performance, post-internship planning, etc., and the process assessment accounts for 60% of the total assessment results."
55,engineering,"A combination of online and offline assessment methods is adopted: the process assessment is based on ""pre-class learning, classroom examination and after-school development” sections (60%), and comprehensive assessment are mainly closed-book, paperless exams (40%)."
56,engineering,"Online assessment (combined with Chinese excellent traditional culture) and classroom learning assessment process assessment (60%) are mainly adopted, supplemented by 40% final comprehensive assessment."
57,engineering,Course assessment are conducted in the form of comprehensive assessment and process assessment accounting for 40% and 60% respectively.
58,engineering,"The process assessment accounts for 60%, and the final assessment accounts for 40%. The final assessment will be divided into two parts: classic recitation competition and practical writing, each of which will account for 50% of the score. Classic recitation takes the form of recitation competition. Practical writing takes the form of closed-book exam. "
59,engineering,"emphasizing the assessment of knowledge and skill, use usual and final assessment
total score = daily assessment 10% + skill test 50% + theory test 40%"
60,computer science,"1. According to the characteristics of the course and the purpose of teaching, the assessment will be carried out according to the five-level scoring system of excellent, good, medium, pass, and fail. In the assessment for final comprehensive scores, the usual process assessment accounts for 70%, and the final homework accounts for 30%.
2. The process assessment includes five contents, including pre-class activities, team activities, classroom activities, after-class development, and growth gains, each accounting for 20%; a multi-assessment method combining student self-assessment, team peer assessment, and teacher assessment is adopted (students self-assessment accounts for 20%, team peer assessment accounts for 25%, and teacher assessment accounts for 55%) to evaluate students' module learning.
3. The final work adopts a combination of team peer assessment and teacher assessment, in which team assessment accounts for 30% and teacher assessment accounts for 70%.
4. Absences (including truancy, leave) more than 1/3 are not allowed to participate in the final comprehensive assessment."
61,computer science,"1. According to the characteristics of the course and the teaching purpose, the assessment will be carried out according to the five-level scoring system of excellent, good, medium, pass, and fail. In the final comprehensive score assessment, the usual process assessment accounts for 70%, and the final homework accounts for 30%.
2. The process assessment includes five contents, including pre-class activities, team activities, classroom activities, after-class development, and growth gains, each accounting for 20%; a multi-assessment method combining student self-assessment, team peer assessment, and teacher assessment is adopted (students self-assessment accounts for 20%, team peer assessment accounts for 25%, and teacher assessment accounts for 55%) to evaluate students' module learning.
3. The final work adopts a combination of team assessment and teacher assessment, in which team assessment accounts for 30% and teacher assessment accounts for 70%.
4. Those who are absent (including absenteeism and asking for leave) for more than 1/3 are not allowed to participate in the final comprehensive assessment."
62,computer science,"By combining process assessment and summative assessment, quantitative and qualitative assessment, students' understanding, and mastery of knowledge and their actual career development planning ability are evaluated. Among them, (1) the process examination accounts for 70%, including attendance, learning attitude, personal work, teamwork, classroom interaction and other grades. (2) the summative examination accounts for 30% and is conducted in the form of reports (thesis), large-scale assignments, project design, and oral examinations.
"
63,computer science,"This course is an inspection course. The course assessment is a combination of online and offline methods, and students' performance is comprehensively assessed through process inspection and summative inspection. Overall assessment (100%) = process assessment (70%) + summative assessment (30%), in which the process assessment includes attendance, learning attitude, individual assignments, teamwork, classroom interaction, etc. The final assessment is based on a report (thesis), large-scale work, project design, etc.
"
64,computer science,"The semester assessment system is implemented, and the assessment methods are flexible and diverse. According to the teaching content, it may be appropriate to use the paper-based test (open-book), writing small papers, and writing investigation reports. The usual assessment include daily learning activities such as attendance, staying attentive in class, discipline, speaking up, homework, and answer questions, accounting for 40%, final exams (proposition-based exams, writing research papers) accounting for 50%, and practical teaching scores accounting for 10%."
65,computer science,"Pay attention to the diversity of assessment, take classroom questions, student assignments, daily tests, project assessment, and skill target assessment as the usual grades, accounting for 30% of the total grades; students’ attendance scores, accounting for 10% of the total grades; practical operations as the final grades, accounting for 60% of the total grade. It is recommended that students take the Fujian Provincial Computer Rank Examination (Level B), and take the exam grade as a reference for final exam results."
66,food science,"This course adopts a combination of process assessment and summative assessment. Process assessment accounts for 50%, and summative assessment accounts for 50%. The specific assessment contents are distributed as follows:
Process assessment: 1. Usual grades (10%): learning attitude and attendance (5%), classroom questions (5%), cultivating professional ethics and literacy. 2. Training performance and practical ability (15%), training report and homework (15%), to cultivate students' practical ability and ability to analyse and solve problems.
Summative assessment: comprehensive theory and knowledge exam + practical exam"
67,food science,"This course adopts a combination of process assessment and summative assessment. Process assessment accounts for 50%, and summative assessment accounts for 50%. The specific assessment contents are distributed as follows:
Process assessment: ①Usual grades (10%): learning attitude and attendance (5%), classroom questions (5%), and cultivate professional ethics and literacy. ②Training performance and practical ability (15%), training report and homework (15%), to cultivate students' practical ability to analyse and solve problems.
Summative assessment: take a comprehensive theoretical knowledge test.
"
68,computer science,"The course assessment is divided into two parts: process assessment (60%) and summative assessment (40%). Among them, the process assessment includes learning enthusiasm (10%), learning participation rate (20%), learning communication (10%) and practical ability (20%); the final assessment can be a written test, or a combination of written test (20%) + computer-based test (20%) if conditions permit."
69,computer science,"Establish a method of combining process assessment (task assessment) and final assessment (course assessment), emphasizing the importance of process assessment. The course assessment is worth 60 points and the final exam is worth 40 points.
1. The final exam can take the form of an open-book computer-based test or a written test to assess students' ability to comprehensively use HTML and CSS.
2. The process assessment consists of two parts: the usual grades and the unit test:
(1) Usual grades: determined by teacher's class roll call and in-class question-ansewering, accounting for 10% of the total grade
(2) Usual experimental and unit quiz scores account for 50% of the total score."
70,computer science,"Establish a method of combining process assessment (task assessment) and final assessment (course assessment), emphasizing the importance of process assessment. The course assessment is worth 60 marks and the final exam is worth 40 marks.
1. The final exam can take the form of an open-book computer-based test or a written test to assess the students' comprehensive ability to use front-end technology.
2. The process assessment consists of two parts: the usual grades and the unit quiz:
(1) Usual grades: determined by the teacher’s class roll call and class response, accounting for 10% of the total grade
(2) Usual experimental and unit quiz scores account for 50% of the total score."
71,computer science,"Dominated by process assessment, supplemented by the final assessment, taking into account the assessment of the code of conduct.
The assessment of the entire course is recommended to be divided into two parts and three elements. The two parts are: usual assessment and final assessment. The usual assessment consists of two elements: practical training assessment and comprehensive quality assessment. The comprehensive quality includes homework scores, classroom questions, and attendance.
The proportion of the three assessment elements in the grades is: practical training grade: 50%; comprehensive quality grade 10%; final assessment 40%.
The final examination is recommended to use the operation examination method."
72,computer science,"Establish a method of combining process assessment (task assessment) and final assessment (course assessment), emphasizing the importance of process assessment. The course assessment is worth 60 points and the final exam is worth 40 points. 
The final exam can be in the form of an open-book computer-based exam.
The process assessment consists of two parts: the usual grades and the unit quizzes:
(1) The usual grades: determined by the teacher's class roll call and class response, accounting for 10% of the total grade
(2) The usual experimental and unit quiz scores account for 50% of the total score.
"
73,computer science,"The course assessment is a combination of summative and procedural examinations. It focuses on assessing students' ability to use CC programming language to develop application programming language, and comprehensively evaluate students' usual practice exercises, skill tests, software application project development and final test. The skills test results are evaluated according to the students' completion of the test, the methods and skills used; the software application project development results are evaluated according to the performance of the students' work tasks, completion status, teamwork, communication, and other aspects. Among them: the performance of the situation, teamwork, communication, and other aspects are evaluated. Among them: 10% of the usual practical exercises, 30% of the skill test, 20% of the software application project development and 40% of the final test"
74,computer science,"Focus on assessing students' ability to use Photoshop for artistic design and art creation of graphics and images, and comprehensively integrate students' daily exercises, operations, work design renderings and end-of-term tests for assessment. Among them: 10% for the usual practical operation, 50% for the design renderings of the works and 40% for the final test."
75,computer science,"The course assessment is a combination of summative and procedural examinations. It focuses on assessing students' ability to use data structure algorithms to develop application programs, and assesses students' daily practice exercises, skill tests, software application project development and final tests. The skills test results are evaluated according to the students' completion of the test, the methods and skills used; the software application project development results are evaluated according to the performance of the students' work tasks, completion status, teamwork, communication and other aspects. Among them: 10% for the  usual practical operation, 30% for the skill test, 20% for the software application project development and 40% for the final test."
76,computer science,"An assessment method that combines usual assessment and curriculum design is adopted. The usual assessment includes usual performance (attendance and classroom performance), after-school homework, and classroom Q&A and practical section. It mainly assesses students' independent hands-on ability, knowledge proficiency and self-learning thinking ability; course design mainly assesses students' website after learning this course. Among them, the process project accounts for 50% of the total score, the usual performance 10%, and the final practical training accounts for 40%.
"
